Name,Skills,College,Degree,Field,Company,Position
Aditya Gupta,"Basic and Advanced Supervision Training Courses, CBMET, Toshiba certified service trained on Aquilion 16, 32 and 64 slice CTs, Toshiba certified service trained on Vantage 1.5 T 8 channel MRI, Toshiba certified service trained on Siemens E-Cam Nuclear Medicine Camera, Aramark service trained on GE AMX 4 and AMX4+ portable XR unit, Aramark service trained on GE 9600, 9800, 9900 Portable C-Arm, Aramark service trained on GE Precision 500 Radiology and Fluoroscopic image system, Microsoft Applications, Foresight Imaging Systems trained on DICOM protocols, Skilled in the operation of MS 2000, Windows 7, MySQL, PHP, Apache, UNIX, Linux, Cisco, Skilled in the operation of networks, Skilled in the operation of workstations and servers","West Virginia State University, Marshall University, Center College","AAS, BA, Diploma","Electronic Technology, Business Management, Computer Programming","Company Name, Company Name, Company Name, Company Name","Clinical Engineering Manager, Imaging Service Engineer, Imaging Service Engineer, Biomedical Equipment Technician II"
Vihaan Malhotra,"A/p, A/r, Automated Payroll, Cpa, Excel, General Ledger, Office Management, Outlook, Payroll, Payroll Processing, Powerpoint, Accounting, Bookkeeping, Office Manager, Accounts For, Bookkeeper, Cash, Financial Statements, Process Payroll, Reconciliations, Tax Returns, Balance Sheet, Bank Reconciliations, Clients, G/l, Its, Job Costing, Journal, Quickbooks, Business Management, Clerical, Training, Account Reconciliations, Accountant, Accounts And, And Account, As400, Audit, Balance Sheets, Contracts, Inventory, Invoice, Office Administration, Operations, Peachtree, Peachtree Accounting, Progress, Reconciling, Restaurant Manager, Scheduling, Secretary, State Tax, Timberline, Timberline Software, Typing, Word","Treasure Valley Community College, Worland High School","A.A., Diploma","Business Management-Accounting, Bookkeeping and Office Administration","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Office Manager/Restaurant Manager, Office Manager, Assistant Controller, Bookkeeper/Office Manager, Office Manager/Bookkeeper, Secretary/Bookkeeper"
Karan Joshi,"Data Mining, Deep Learning, Machine Learning, Software Testing, Algorithms, Python, JIRA, NLP, SQL, Unsupervised learning, Clustering, Regression, Model Development, MLOPS","STES College of Engineering, Pune",B.Tech,Electronics/Telecommunication,TSC Solutions,Junior Machine Learning Engineer
Aisha Reddy,"Leadership Development, Project Management, Budgeting, Employee Management, Operations Management, Business Management, Inventory Management, Risk Management, Staff Development","Texas Tech University, Texas Tech University, Denison High School","Masters of Public Administration, B.A. General Studies, High School Diploma","Budget and Public Finance, Business Management, N/A","Company Name, Company Name, Company Name","Business Development Manager, Athletic Coordinator, Patient Relations Supervisor"
Aarav Gupta,"C++, Python, .Ney(VB, ASP), CSS, Javascript, Visual Basic, Visual FoxPro, Analytical Process Improvement, Risk Assessment & Tracking, Data & Network Management, Scrum & Agile",New York University,Bachelor of Science,Computer Science,"Beckman Coulter, BlueOcean Biomedical, MathWorks","Information Systems Assistant, IT Associate, Web Developer Intern"
Priya Rao,"Careful and active listener, Self-Starter & self-motivated, Hungry for growth and continuous learning, Proactive and energetic, Fluent in Spanish","University of California, Santa Cruz",Bachelors of Arts,Sociology,"Company Name, Company Name, Company Name","Business Development Manager, Business Development Manager, Talent Acquisition Consultant / Account Executive"
Kabir Verma,"Army, basic, bridges, inspection, Inspects, Marconi, Office, Radar, multi-meters, oscilloscopes, personnel, radio, Read, Safety, signal generators, Telephone, troubleshooting, VHF","University of *Strong Vincent HS, Intermediate Electronic Principles, Keesler AFB, MS, *Telephone Central Office Repair, *HAZMAT Familiarization/Safety Transport, *Forward Area Alerting Radar Repairer","Diploma, N/A, N/A, N/A, N/A","N/A, N/A, N/A, N/A, N/A","Company Name, Company Name, Company Name","Construction Engineering Supervisor, Combat Engineer, Combat Engineer"
Arjun Chauhan,"Account Reconciliation, Accounting, Accounts Payable, Accounts Receivable, AR, Billing, Budget, Cash Handling, Closing, Coaching, Communication Skills, Contracts, Credit, Customer Service, Financial, Forms, General Ledger, General Ledger Accounts, Grants, Groupwise, Instructing, Mentoring, Merchandising, Microsoft Office, Outlook, Organizational Skills, Packaging, Policies, Pricing, Public Speaking, Purchasing, Receiving, Reconciling, Research, Spreadsheets, Team Player, Time Management, Year-End","Prairie View A & M University, University of North Texas, University of North Texas","BBA, BBA, MBA","Accounting, Finance, Strategic Management","Company Name, Company Name, Company Name, Company Name, Company Name","Accountant III, Assistant Accountant, Accounting Clerk B, Accounting Instructor, Student Accounts Representative/Bookkeeper"
Priya Ghosh,"Applied Machine Learning, Deep Learning, Computer Vision, Guided Mechanisms, Search Algorithms, Optimization, Parameter tuning","Sadar Sai Chand College, Mumbai",B.Tech,Computer Science & Engineering,ViZon LTD,Junior Intern
Vihaan Singh,"Data Analytics, Artificial Intelligence, Data Visualization, Machine Learning, Python, Data Wrangling, Featurization, Heuristics, Data Structures","Punjabi University, Patiala",B.Tech,Electronics and Communication,JP Informatics,Intern
Riya Das,"Tutoring, Teaching, Mathematics, Algebra, Geometry, English, Content Management, Documentation, Middle School & High School Math, College Math, Presentation, Analysis, Grading and Evaluation, Problem Solving, ESL Students, Technology Integration, Classroom Monitoring, Student Assistance, Account Management, Customer Care and Satisfaction, Data Analysis, Forecasting, Inventory, Quantitative Analysis, Leadership, Operations Management, Procurement, Project Management, Optimization, C, C++, MS Office Suite, Google Docs, SQL","San Francisco State University, Yildiz Technical University","Master of Business Administration, Bachelor of Science","Decision Sciences, Mathematical Engineering","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Volunteer Math Tutor, Volunteer Math Tutor, Teaching Assistant, Mathematics and Statistics Tutor, Operational Excellence Lead, Google Express, Consultant, Operations Manager, Senior Analyst, Account Manager and Logistics Analyst"
Aanya Gupta,"DasyLab, Labview, Mechanical, Electrical, Lean/5S, Hydraulic Testing, Test Stand Fabrication","Forsyth Technical Community College, Community College of the Air Force","Associates, Associates","Applied Science Electronics Engineering, Applied Science, Munitions Systems Technology","Company Name, Company Name, Company Name, Company Name","Engineering Lab Technician, Engineering Lab Technician, Sr. Specialist, Assembly/ Test Technician, Munitions Systems Journeyman"
Krishna Chopra,"Account reconciliation, accounting, general accounting, accounting software, accounts payables, accounts receivables, A/P, Arabic, Balance sheet, bank reconciliations, banking, billing, bookkeeping, budgeting, budgets, budget, closing, Strong communication skills, Controller, client, clients, documentation, English, Equity, finance, financial, financial analysis, analyze financial statements, financial statements, prepare financial statements, Fixed Assets, forecasting, general ledger, GL, inventory, Investments, ledger, market, Access, Excel, Outlook, PowerPoint, MS Word, monitors, organizational, payables, payroll, personnel, problem solving, processes, Profit, Profit and loss account, Public Accounting, Express, QuickBooks, reporting, Sales, supervision, Swedish, Tax, tax returns, year-end","Walsh College, Stockholm University, Al Turath University, Svenskab rsrum Institute","Master of Accountancy, Bachelor of Accountancy Degree, Bachelor of Accountancy, Certificate of Business Administration","Accounting, N/A, N/A, N/A","Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Accounting Manager, Staff Accountant Finance Manager"
Neha Sinha,"Basic and Advanced Supervision Training Courses, CBMET, Toshiba certified service trained on Aquilion 16, 32 and 64 slice CTs, Toshiba certified service trained on Vantage 1.5 T 8 channel MRI, Toshiba certified service trained on Siemens E-Cam Nuclear Medicine Camera, Aramark service trained on GE AMX 4 and AMX4+ portable XR unit, Aramark service trained on GE 9600, 9800, 9900 Portable C-Arm, Aramark service trained on GE Precision 500 Radiology and Fluoroscopic image system, Microsoft Applications, Foresight Imaging Systems trained on DICOM protocols, Skilled in the operation of MS 2000, Windows 7, MySQL, PHP, Apache, UNIX, Linux, Cisco, Skilled in the operation of networks, Skilled in the operation of workstations and servers","West Virginia State University, Marshall University, Center College","AAS, BA, Diploma","Electronic Technology, Business Management, Computer Programming","Company Name, Company Name, Company Name, Company Name","Clinical Engineering Manager, Imaging Service Engineer, Imaging Service Engineer, Biomedical Equipment Technician II"
Sara Sinha,"Software Engineer/Developer, Software Development, Project Management, Machine Learning, Computer Vision, OpenCV, Python, C++, Ruby, Learning Algorithm","DVR College of Engineering & Technology, CDAC Noida","B.Tech, Post Graduation","Electronics & Computers, Software Development",Eximius Design Pvt ltd,Software Development and Deployment Engineer
Vikram Rao,"Machine Learning, Software Development, Text Analysis, Natural Language Processing, Image Processing, Python, Data Management, Scikit Learn, C, C#, .NET, SQL",Punjab Technical University,B.Tech,Computer Science,HS Institute,Trainee
Ishaan Reddy,"Generally Accepted Accounting Principles, Generally Accepted Auditing Standards, Interviewing Techniques, Research & Data Gathering, Financial Analysis, Budget Preparation, Accounts Payable/Accounts Receivable, Implementing Effective Internal Controls, OMB Circular A-133, MS Office, Quickbooks, Accounting, Administrative, Agency, Audit Report, Backup, Bank Reconciliations, Basic, Billing, Budgets, Cash Register, Cashier, Catalog, Clerical, Conferences, Contracts, Client, Data Analysis, Database, Decision-making, Direction, Documentation, Financial, Financial Statements, Funds, Legal, Money, Policies, Processes, Video","Fox School of Business, Temple University",Bachelor Business Administration,Accounting,"Company Name, Company Name, Company Name, Company Name","Accountant, Administrative Specialist II, Auditor II, Accountant"
Aarav Singh,"Microsoft Office, Advanced Excel, PowerPoint, MS Access, Atlas, Windows 95 - XP, Harvard Graphics, QuickBooks, NGS Systems, People Soft, SAP, Quicken, Nanovision, 2-Tier, Phoenix (E1), Business Objects, Account reconciliations, Accounting, Accounts payable, Accounts receivables, Accruals, Ad hoc, AP, Balance sheet, Balance, Bank reconciliations, Billing, Bookkeeping, Budgeting, Budget, Charts, Oral communication, CPA, Databases, Fluent in English, Senior management, Finance, Financial analysis, Financial reports, Financial Reporting, Financial statements, Fixed assets, Forecasting, General ledger, General ledger accounts, Government, Graphs, JDE, Lotus Notes, Presentations, QuickBooks, Quicken, Reporting, SAP, SOX compliance, Sarbanes Oxley, Spanish, Tax, Variance analysis, Excellent written","Pepperdine University, Graziadio School of Business and Management, University of New Orleans","Master of Business Administration, Bachelor of Science","Business Development Strategy, Management, Finance Spanish","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Supervisor Accountant, Lead Accountant, Senior Accountant, Senior Financial Analyst, General Accountant, Accountant"
